,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
3222,456cda84-a169-4d96-b70a-ccaa9a190d23,RANKED_SOLO_5x5,SILVER,IV,2dWciCac6e2qnZFkLINHoqg-_Qht9eO3IA-AtKrgW3JJhME,BlueEyesNick,15,10,6,False,False,False,False,
3223,c713f08e-735a-461b-8b3f-776d770326e9,RANKED_SOLO_5x5,SILVER,IV,50glHg3038YsA8_eY2dxV_ekme17U5h84n9zjvyfkwWzQMo,TSB OrigiNaS,61,6,4,False,False,False,False,
3224,443d5b47-dae4-4207-8686-6ae576b42596,RANKED_SOLO_5x5,SILVER,IV,U-Q3zvXURcngogANuDwiE-XRax9jMfJFKNzWkNH7gwAGQao,GreenPilot,12,17,24,False,False,False,False,
3225,a63ddd9a-14ee-476d-9b15-027e9dbf5b09,RANKED_SOLO_5x5,SILVER,IV,DLABj8GkVjICsWlFlG9BLcWdbZxKDKIDMlKgUOwcU-zFtXc,SaliGARRY,7,98,109,False,False,False,False,
3226,f312c854-b2c3-45c2-90b4-48ec50a1336f,RANKED_SOLO_5x5,SILVER,IV,0LV2y1WqcscnxUKAvG-PHa3YnNaiH4a4qCJJJfjEJpWlLL8,XperienLover,17,64,79,False,False,False,False,
3227,8cdf648f-8d08-4d09-b996-be23bb9c0256,RANKED_SOLO_5x5,SILVER,IV,919ltKt7IA-9uKbzn2QzsKOyH40LtqDxnPFE5C_emJKVuqI,iKillSteal,60,50,50,False,False,False,True,
3228,bfd8394f-0ccf-44c7-b18c-947b394a87ba,RANKED_SOLO_5x5,SILVER,IV,HJHcQKu-Z7YMaMqC0sOLMd9GKfwluPPkutFNmaX-NG74YZo,ToJIkuH,18,33,32,False,False,False,False,
3229,021020a5-eeeb-49f9-b490-abaee698a2ae,RANKED_SOLO_5x5,SILVER,IV,CTew4YdMod_J7OS_VLZ_oUGcmRUUZH1Yot24HsEfGJQJoio,DureX Jura,0,7,6,False,False,False,False,
3230,8ba184b7-321b-433b-80c6-01a3c83e0e3d,RANKED_SOLO_5x5,SILVER,IV,8AF5LEVzb3iWvXZtHFHDXXsMGz4M2vq6UnGIPGihn8Dt,magiman,26,14,19,False,False,False,False,
3231,8a3e857a-8ba3-409f-9992-e40f4d89aa31,RANKED_SOLO_5x5,SILVER,IV,co7V8ley5pgplh-Vb-4G6kODvqihNjEGL7axqdV_jetpTc4,CTM RedKL,75,6,14,False,False,False,False,
3232,16976b2c-f3f6-42cf-ad0d-08d1e38cac75,RANKED_SOLO_5x5,SILVER,IV,AYj1AQzx53od2qbAngG_VGF5O2q5_EoyoZNru7E4GFtbEHM,Mariola o Kocim,79,5,8,False,False,False,False,
3233,e5cc05e7-7561-4dba-8916-a0cddbae41b5,RANKED_SOLO_5x5,SILVER,IV,jHW8Urre0YVy-vbTyifH-q5ZH2dMDjWs0Il4MhJYyQQ6CPM,FAteless57052281,83,47,52,False,False,False,False,
3234,c8aab0aa-8850-487d-8dae-4feedfb84d6b,RANKED_SOLO_5x5,SILVER,IV,8hmly0Umf9Fm-ZATTQ6fe-JhJzxtW5YOYtsewC5aEmCqwsw,Whσ,38,16,25,False,False,False,False,
3235,922000bf-1ef0-4dae-aeed-a39c6647da34,RANKED_SOLO_5x5,SILVER,IV,u-T4O-skBQ_4gO-yZUGJ88T745U61XS6UuV4lQXHpFHB_7s,verier,10,15,20,False,False,False,False,
3236,04564bc8-fd50-418b-bfd5-a2538042282f,RANKED_SOLO_5x5,SILVER,IV,1FKGZ8zjXlQLHhy9LMmq32U94ehR5ZCKIGKsLdwjJ3b5rZA,Gianni the Chef,61,22,16,False,False,False,False,
3237,8f3b0515-4c80-4fe6-80d5-1cdb2f08c874,RANKED_SOLO_5x5,SILVER,IV,fnI2LNvz1wseV0j5GXbRnWt8I7dM4qB2ccLsiXZF2kXgGpI,anihilion,32,13,14,False,False,False,False,
3238,e0d7da95-1493-41eb-98a3-be029b0f6bd1,RANKED_SOLO_5x5,SILVER,IV,u4_FzBz138xgcQbc336_Vz9PBuQrMhPwAuscH1xJL7_DX2M,Shaota,0,4,8,False,False,False,False,
3239,82a4b667-e3ba-42e9-84f4-f4fef50953e5,RANKED_SOLO_5x5,SILVER,IV,nHKRxk3QY8_3kiBa-vTpSPHkt8j3h95KUDUEfqzSWhGKxvQ,Setras,62,6,4,False,False,False,False,
3240,5532c3b1-cae2-42de-98c8-5a3b75d4359c,RANKED_SOLO_5x5,SILVER,IV,2qn4X1cvv5Ov4I7mP4a0O1jXb26-zKcIh6s9JCbJOfUpYSc,Misio91,8,19,19,False,False,False,False,
3241,c2dd7b64-fb2e-4495-9e49-73aa8c1e0e72,RANKED_SOLO_5x5,SILVER,IV,KrkO087L22KjyQxUdfuOcyzRq0KAvy4ywIKLa9-7yYHlyDI,Jeronimo7,26,28,41,False,False,False,False,
3242,f8eabf96-10a2-47ac-8fcf-bb8f2a73fb8d,RANKED_SOLO_5x5,SILVER,IV,PVpJhsSePwSDXR9nyOirnaJvByEA0jqPkAVtHSDHXhxZB2M,Gorilla Glue,65,7,6,False,False,True,False,
3243,3c560620-4cad-44d1-8677-e30757b31eae,RANKED_SOLO_5x5,SILVER,IV,jE2URlQHkVPqHKQnMbhnR51sIVHH41WrKJG-jGDOM1vGo4Q,O KAΠETΑNΙOΣ,28,161,171,False,False,False,False,
3244,d4407d62-afd0-4b55-9c12-e784e071e77c,RANKED_SOLO_5x5,SILVER,IV,PIrF1tF7PRY2oiLP-TbogEROPFkVyei4QCxha1LEy1jToxk,Badh,50,10,11,False,False,True,False,
3245,c88daa4c-f17d-4647-99c4-3631aab9f9aa,RANKED_SOLO_5x5,SILVER,IV,kaCFLIOrWLoM_6FngOxI9BPMgZA1lJFPl8VrIiUl3mmd-yc,Ruloniu,72,100,82,False,False,False,False,
3246,4ed9d442-a799-40e6-979f-0a38dfbf3d09,RANKED_SOLO_5x5,SILVER,IV,r41vwdQr1j3RY0pgikPt-JWC2sp_avM6Zmz6YEEkmTC-Zd4,AkloPL,39,13,20,False,False,False,False,
3247,fb6da455-aed5-4e49-81d3-45d53c24d67f,RANKED_SOLO_5x5,SILVER,IV,0OzOGbY8nN-mSwC1YWIc4aE9wfhC9IYJjSy3NGYEa-ngLgM,elfologos,53,56,61,False,False,False,False,
3248,3f543bfc-e8c5-409b-ac1e-f5feaa0bc45e,RANKED_SOLO_5x5,SILVER,IV,FyYXGfVkCp2t6ASyf9Kay_ttmsnI8ybdo4719vtRW_1Hcag,DEDD,0,62,62,False,False,True,True,
3249,9370d9e2-a7e2-4560-94af-57dfd1c2cf17,RANKED_SOLO_5x5,SILVER,IV,YEL8vzPonRSTvCXFsTTRCCje6axoFHrL2YbXinRbw918PXc,Fryta300,100,42,46,False,False,True,False,"{'target': 2, 'wins': 0, 'losses': 1, 'progress': 'LNN'}"
3250,0644f3f9-3c70-44fa-86e9-59b39c322fc3,RANKED_SOLO_5x5,SILVER,IV,i7mc2lNJWAsfCn17SrAXA0jQZxfzjfIBd-6t_cv_SvMGrRc,Invex,100,19,18,False,False,False,False,"{'target': 2, 'wins': 0, 'losses': 0, 'progress': 'NNN'}"
3251,9220ff56-0803-46f6-bfc3-07f712ed33e1,RANKED_SOLO_5x5,SILVER,IV,6NTegTb0Tz7Hct7Bo21hcZOPJ7jMVTpViB3gsYcSfHSahRA,Chòco,54,8,10,False,False,False,False,
3252,c7d2b034-5dfe-4a58-8def-bbc9c6624d3a,RANKED_SOLO_5x5,SILVER,IV,W2_LGQmDqMRnWEa_mB1ysD3PqdsscmPQubLs_cIVqn8Y0eU,Antidepresiv,87,21,32,False,False,False,True,
3253,7b7992bf-e248-46c6-ac40-e6c4ef659a19,RANKED_SOLO_5x5,SILVER,IV,or5zZj-MuJVbgzGoSA-quSfelhe0v_wqE3WeBjni5BxLgsg,St0,22,20,36,False,False,True,False,
3254,825b09fd-72a4-4cf6-afc2-1f3e779acbcb,RANKED_SOLO_5x5,SILVER,IV,CwtM7mek7ZlnpyJmMgNI3AfxZFUSVlHGHnUfMhDreeIY3B0,Ultima Buster,44,83,85,False,False,False,False,
3255,0c078e04-9c2d-411e-922a-c5e4c9551213,RANKED_SOLO_5x5,SILVER,IV,XX221W1th6UnvttzWdym4zH5_7Sc8voXBNYz3k8YjfXf1As,Matejs0n,100,27,18,False,False,True,True,"{'target': 2, 'wins': 1, 'losses': 0, 'progress': 'WNN'}"
3256,e78cb1aa-24c7-44f7-a173-09e5976cb3ac,RANKED_SOLO_5x5,SILVER,IV,5TU6ewOQv3cFfTRqJ0I0uiZQAyAUvWuXLfGHmHCh7UXzxlM,Exiog,32,52,60,False,False,False,False,
3257,669c293f-ea87-419f-9d61-1c69b133da39,RANKED_SOLO_5x5,SILVER,IV,dVDZxgTWcz6NIrNQaaoA7ZmQ8uvVvR8PSR_mP5zXW5LX8Z8,Kapor,32,17,2,False,False,True,True,
3258,88d19d7f-591d-4027-91b4-8cda93363ed3,RANKED_SOLO_5x5,SILVER,IV,YW_Qv3J6Fqz_xwyj1dbR14HMGA8DTm0ewXXdYBr1T390W88,Darthar Namikaze,68,56,54,False,False,False,False,
3259,435a309e-7071-4aa9-8281-5866cac2f686,RANKED_SOLO_5x5,SILVER,IV,AB017v79F1ThOzkjVoYfv3PUq9q3hrg0wxLSynLt5t6fBb4,Aris689,0,18,14,False,False,False,False,
3260,5935a393-c148-499c-9577-4b0457d85cb0,RANKED_SOLO_5x5,SILVER,IV,bnGVri5Im04Ytr0_PACNCJvxN3mLQ6_NI7syx-LFek3zSjI,Psythera,66,39,31,False,False,False,False,
3261,92e7a319-f34e-496a-b088-e4c8392d73b2,RANKED_SOLO_5x5,SILVER,IV,MlaUp1_43zaG4jhnUld1jOPN5h9I2a29efkde0Xf5HyZzto,Xender DontCarry,29,6,9,False,False,False,False,
3262,3c9ad019-3d95-47cf-8699-fc99f5f16d7e,RANKED_SOLO_5x5,SILVER,IV,xdpXTC5iXDJN95mSe5I54Mqg_mlyTeAbIplXbwg6NZZw0zY,Bone,20,44,51,False,False,False,False,
3263,d9c3c1ff-d14d-47a3-8310-a8224b68189d,RANKED_SOLO_5x5,SILVER,IV,T-SZxHIxkxHP7XMbCLQHUhfpk1-aDsDZGqoVeoICxwYGQO4,Dijkstra,0,42,49,False,False,True,False,
3264,7c942963-4603-49a3-b034-ef4d9c656b3f,RANKED_SOLO_5x5,SILVER,IV,tn7vhVuISeFur3D7aEz_U8rGXyyR3axXfhZSgTEhjuLHPJU,NickolasXIII,67,8,3,False,False,False,True,
3265,dab5f4a5-4572-419d-b526-faec10ada25b,RANKED_SOLO_5x5,SILVER,IV,Evfn7wwznT37oheSdgXRK__-gGisOR8XK53NMZyVsAqVX84,Idolek,0,10,13,False,False,True,False,
3266,4a7e508a-c97b-4448-bbcf-0282ecd27851,RANKED_SOLO_5x5,SILVER,IV,41hrR4ZJhyqha5HtKYg61xEcAIfGJkcOotBq4AOXJKGS3L0,JangDe,20,39,52,False,False,False,False,
3267,9385b7fd-1f05-4c68-81fb-d1d0c8232982,RANKED_SOLO_5x5,SILVER,IV,nlcZFZxOX-9BmbDemkJ7Z5VF9Yu4wUJXc3bkPojeHcbuMSs,KoKoRiKoU,100,9,10,False,False,False,False,"{'target': 2, 'wins': 0, 'losses': 1, 'progress': 'LNN'}"
3268,c843fe6d-5970-4d1b-be62-ff2c3e4b4f9a,RANKED_SOLO_5x5,SILVER,IV,2QMQxY2kLK2y2vO1Bur_2CvKTyOy4gt8rJpjleCMlepRVUk,QuelNo,0,12,13,False,False,True,False,
